,datetime,post
112,2021-10-01 18:22:33,"Apple Could Be Targeting Facebook, Google Advertising Revenue Stream Via Latest Move $AAPL $FB $GOOG $GOOGL https://t.co/iKhlREcXNe"
113,2021-10-01 18:22:16,"RT @JunkoSu22993224: Chainlink Refused to Sell Itself to Google.
Google approached #Chainlink to buy it for undisclosed amount. Rumors is $…"
114,2021-10-01 18:21:38,@themotleyfool $goog and  $ASMi
115,2021-10-01 18:21:26,"RT @AutumnCapital: Citi advising against $FB and $GOOG in favor of $AMZN.

Buy all fuccin three."
116,2021-10-01 18:17:07,$Goog made clear how much worth each #Link. If the rumors are correct we have a 350B proposal for ÷ 1B tokens = so… https://t.co/quFWusQyaI
117,2021-10-01 18:12:33,RT @lilcozyvert: How Google (Alphabet) Makes Money https://t.co/GlWAX8XisV via @YahooFinance $GOOG $GOOGL
118,2021-10-01 18:12:10,Google is scrapping its plan to offer Plex bank accounts to users in partnership with Citigroup and other banks… https://t.co/iXdlJh95NW
119,2021-10-01 18:10:01,"$GOOG We filled the gap yesterday, didn't we?"
120,2021-10-01 18:09:27,"Apple Could Be Targeting Facebook, Google Advertising Revenue Stream Via Latest Move | $AAPL $FB $GOOG $GOOGL"
121,2021-10-01 18:08:03,"RT @JunkoSu22993224: Chainlink Refused to Sell Itself to Google.
Google approached #Chainlink to buy it for undisclosed amount. Rumors is $…"
122,2021-10-01 18:07:04,@KreizJordy @Adweek @OphirGottlieb 100%. Which explains why $GOOG and $AMZN are trying to hard to make sure $ROKU doesn’t get it all :)
123,2021-10-01 18:05:02,"@themotleyfool Based on best odds, I’ll go in this order : All of the major railways like $CSX $UNP, Burlington nor… https://t.co/tnhZxQXi7z"
124,2021-10-01 18:04:05,$GOOG Guilty. Weak hands here. Sold at around $2640 with profit when it went down this morning in Germany. Hope you… https://t.co/igAsGGrg1l
125,2021-10-01 17:58:29,$GOOG Understand that pullbacks are short term and Wealth generation is Long term. Secular bull trend is still on.… https://t.co/HTpMHUMpiw
126,2021-10-01 17:55:36,I sold all my $GOOG and $AMZN today in the retirment.  More alpha to be had somewhere else in smaller caps IMO.
127,2021-10-01 17:54:06,"RT @DeItaone: Google Abandons Plans to Offer Bank Accounts, Sources Say
$GOOG"
128,2021-10-01 17:53:31,"RT @JunkoSu22993224: Chainlink Refused to Sell Itself to Google.
Google approached #Chainlink to buy it for undisclosed amount. Rumors is $…"
129,2021-10-01 17:51:51,RT @slowdown_money: If you're new to Money Twitter and you know you want to start investing in the stock market but are not sure where to s…
130,2021-10-01 17:51:42,@RDalsaune @sc101_101 @ICannot_Enough I think Google is technically 3rd at .  But because they have two classes of… https://t.co/xLxgy5AiKA
131,2021-10-01 17:50:37,@themotleyfool $goog
132,2021-10-01 17:50:36,"Google handed hundreds of patents tied to its failed internet balloon project Loon over to SoftBank $GOOG
https://t.co/rPinyHnF0R"
133,2021-10-01 17:49:17,How Google (Alphabet) Makes Money https://t.co/GlWAX8XisV via @YahooFinance $GOOG $GOOGL
134,2021-10-01 17:48:24,"Get instant updates and free trials join here 

$AMC $GME $NOK  $SPY $RH $BB $RKT $AAPL $AAL $NAKD $SOL $DAL $M… https://t.co/mZ2leunq1U"
135,2021-10-01 17:46:56,Is $goog Stock A Buy? Internet Search Giant Tops Among FANG Stocks In 2021 https://t.co/zptHDa1gcn via @YahooFinance
136,2021-10-01 17:46:27,Apparently I only invest in companies that have high short interest.  $tsla $goog $aapl $nvda $amzn https://t.co/tbssYErsWr
137,2021-10-01 17:45:15,"$AAPL gamma SQUEEZE taking place! Free💸
https://t.co/OLJN0FPwMB

$BTC $ETH $LINK $XTZ $ADA $VET $KNC $SXP $TWTR $ES… https://t.co/mlY8dBG1E6"
138,2021-10-01 17:44:19,"$BTC $ETH $LINK $XTZ $ADA $VET $KNC $SXP $TWTR $ES $JD $BABA $BIDU $TME 
$SPY $QQQ $DIS $TSLA $SHOP
$AMD $AAPL $SQ… https://t.co/KpXKFDdAB6"
139,2021-10-01 17:43:39,RT @slowdown_money: If you're new to Money Twitter and you know you want to start investing in the stock market but are not sure where to s…
140,2021-10-01 17:42:43,$AAPL $GOOG $GLD $QQQ $SPY $VFF $TLRY $KBH $LEN $GE $T $F $GM $TSLA $HTSC $GRNF $MTCH $RIOT $MARA $IRRZF $KOAN… https://t.co/QorEoatX7P
141,2021-10-01 17:41:31,$SPY $QQQ $NDX $DIA $IWM $NFLX $FB $INTC $SMH $AAPL $NVDA $TSLA $ES $YM $AMZN $BA $GS $JPM $IBM $LRCX $C $GOOG $VXX… https://t.co/KA8T3bfLpC
142,2021-10-01 17:40:58,Rose Above Previous Day's High today: $FBZ $SWSSU $TSIBU $MAGA $EVER $FOA $TALK $CVR $EDOG $GOOG $VMEO $HRMY $FHTX… https://t.co/gygdKjlpqT
143,2021-10-01 17:40:27,"Learn To Trade While You're Working From Home&gt;

$AAPL $AMZN $BTC $ETH $FB $GOOG $MSFT $QQQ $SPY $TSLA $EPR $WYND… https://t.co/WRxo4H8F8n"
144,2021-10-01 17:39:31,"According to a source familiar with the negotiation, NBCU's extension with YouTube TV only lasts until tonight.… https://t.co/XFXmTuY5sz"
